"filename", "language", "CMake", "C++", "JSON", "HTML", "YAML", "Markdown", "Dart", "Swift", "XML", "Gradle", "Java Properties", "CMake Cache", "C", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\cache-v2-92448d9a2e95a7395ea3.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\cmakeFiles-v1-48f0737b2624680a3591.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\codemodel-v2-6618e5ebd6d30f5466a9.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\.cmake\api\v1\reply\index-2025-03-06T06-55-14-0684.json", "JSON", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\android_gradle_build.json", "JSON", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\android_gradle_build_mini.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\cmake_install.cmake", "CMake", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\armeabi-v7a\prefab_config.json", "JSON", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\x86\.cmake\api\v1\reply\cache-v2-8b282ab7519e94b62439.json", "JSON", 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\x86\.cmake\api\v1\reply\cmakeFiles-v1-bcb44eb98458919144e4.json", "JSON", 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\x86\.cmake\api\v1\reply\codemodel-v2-bf526db03eb4cdf38867.json", "JSON", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\postalhub_tracker\android\app\.cxx\RelWithDebInfo\3p602e3q\x86\.cmake\api\v1\reply\directory-.-RelWithDebInfo-d0094a50bb2071803777.json", "JSON", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
