"filename", "language", "YAML", "Markdown", "Swift", "C++", "CMake", "JSON", "HTML", "XML", "Dart", "Gradle", "Properties", "CMake Cache", "C", "comment", "blank", "total"
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\.cmake\api\v1\reply\index-2025-04-16T13-50-33-0924.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeSystem.cmake", "CMake", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 0, 0, 598, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 130, 792
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\CMakeFiles\3.22.1-g37088a8-dirty\CompilerIdC\CMakeCCompilerId.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 610, 62, 132, 804
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\android_gradle_build.json", "JSON", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\android_gradle_build_mini.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\cmake_install.cmake", "CMake", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 55
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\arm64-v8a\prefab_config.json", "JSON", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\.cmake\api\v1\reply\cache-v2-2c73c5c5a4d7e58a4a7d.json", "JSON", 0, 0, 0, 0, 0, 1367, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1368
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\.cmake\api\v1\reply\cmakeFiles-v1-253cc0af0d0fe52695c3.json", "JSON", 0, 0, 0, 0, 0, 803, 0, 0, 0, 0, 0, 0, 0, 0, 1, 804
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\.cmake\api\v1\reply\codemodel-v2-5a599b054c6c5b2eac23.json", "JSON", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\.cmake\api\v1\reply\directory-.-Debug-d0094a50bb2071803777.json", "JSON", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\.cmake\api\v1\reply\index-2025-04-16T13-50-39-0418.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 93
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\CMakeCache.txt", "CMake Cache", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 324, 0, 0, 78, 402
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCCompiler.cmake", "CMake", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 73
"c:\Users\haqim\Project\Flutter\Postal Hub\postalhub_client_mobile\android\app\.cxx\Debug\44572c6c\armeabi-v7a\CMakeFiles\3.22.1-g37088a8-dirty\CMakeCXXCompiler.cmake", "CMake", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 84
